,CHAPTER,PIN1,PIN2
0,21-00-00,1D-21J-P1-B,1U-211-P1-A-E10
1,21-00-00,1D-21J-P1-D,1U-211-P1-A-G10
2,21-00-00,1M-211-P1-B,J-241-P15-B-3
3,21-00-00,2M-215-P1-C,U-24M-R8-6
4,21-00-00,2M-21R-P1-8,2U-211-P1-D-B7
5,21-00-00,2M-21R-P2-11,2U-211-P1-B-B10
6,21-00-00,2M-21R-P2-6,2U-211-P1-B-E8
7,21-00-00,2M-21R-P2-1,2U-211-P1-E-J12
8,21-00-00,2M-21R-P2-2,2U-211-P1-E-J13
9,21-00-00,1D-21M-P1-B,1U-211-P1-A-E7
10,21-00-00,1D-21M-P1-D,1U-211-P1-A-G7
11,21-00-00,1D-21M-P1-E,1U-211-P1-A-H7
12,21-00-00,D-21R-R1-9,GND
13,21-00-00,2M-21R-P3-4,GND
14,,M-475-P1-1,GND
15,,M-475-P1-4,GND
16,,P-462-P1-25,GND
17,,P-462-P1-24,GND
18,,U-423-P3-A-A7,GND
19,,U-421-P2-B-3,GND
20,,7U-34D-P4-E,GND
21,,1U-34D-P4-E,GND
22,,1U-34D-P4-B,GND
23,,U-34E-P2-B,GND
24,,S-342-P4-E,GND
25,,S-341-P4-E,GND
26,,1U-343-R1-65,GND
27,,L-33A8-P1-B,GND
28,,U-3344-P1-11,GND
29,,2P-312-P1-C-59,GND
30,,2P-312-P1-C-55,GND
31,,1P-312-P1-C-59,GND
32,,2P-311-P1-C-59,GND
33,,1P-311-P1-C-59,GND
34,,1P-311-P1-C-58,GND
35,,D-29V-P2-B,GND
36,,D-2816-P1-A,GND
37,,D-2813-P1-A,GND
38,,M-286-P1-K,GND
39,,M-283-P1-L,GND
40,,M-284-P1-L,GND
41,,M-281-P1-L,GND
42,,M-28A-P1-A,GND
43,,2D-26C1-P1-11,GND
44,,U-24J-R2-A-11,GND
45,,U-24J-R2-A-10,GND
46,,U-24J-R1-A-11,GND
47,,U-24J-R1-A-10,GND
48,,S-245-P1-D3,GND
49,,U-243-P1-B-47,GND
50,,U-24Q-P2-B,GND
51,,1U-233-P1-C-2,J-243-P3-A-14
52,,1U-231-R1-P2-5,U-42E-P1-32
53,,1U-231-R1-P2-42,U-42E-P2-68
54,,U-239-P1-9,1U-231-R1-P1-73
55,,U-239-P1-8,1U-231-R1-P2-76
56,,U-239-P1-2,1U-231-R1-P2-77
57,,U-239-P1-1,1U-231-R1-P2-80
58,,U-239-P1-4,1U-231-R1-P2-82
59,,U-42E-P2-58,1U-231-R1-P2-52
60,,U-42G-P1-112,1U-231-R1-P2-30
61,,U-42J-P1-91,1U-231-R1-P2-46
62,,U-42J-P1-112,1U-231-R1-P2-36
63,,1P-232-P1-106,1U-231-R1-P2-14
64,,1U-231-R1-P2-57,1U-343-R1-21
65,,1U-231-R1-P2-58,1U-345-R1-22
66,,1U-231-R1-P2-58,1U-343-R1-22
67,,1U-231-R1-P2-71,2U-231-R1-P2-68
68,,1U-231-R1-P2-88,U-24E-R6-42
69,,1U-231-R1-P2-1,1U-232-R1-7
70,,1U-231-R1-P2-2,1U-232-R1-8
71,,1U-233-P1-B-G3,1U-231-R1-P2-63
72,,1U-233-P1-B-C1,1U-231-R1-P2-73
73,,2P-232-P1-106,1U-231-R1-P2-20
74,,2P-232-P1-98,2U-231-R1-P2-19
75,,2P-232-P1-108,2U-231-R1-P2-20
76,,2U-231-R1-P2-32,U-42K-P1-45
77,,2U-231-R1-P2-58,2U-345-R1-22
78,,3P-232-P1-96,1U-231-R1-P2-25
79,,3P-232-P1-108,2U-231-R1-P2-26
80,,1U-232-R1-4,1U-23D-P1-81
81,,2U-23D-P1-81,2U-231-R1-P2-60
82,,3U-23D-P1-81,1U-231-R1-P2-54
83,,3U-23D-P1-81,2U-231-R1-P2-54
84,,U-42C-P1-123,1U-23D-P1-86
85,,U-246-R1-B-C10,P-3314-P1-84
86,,U-246-R1-C-19,J-242-P8-B-9
87,,J-243-P6-B-11,P-3314-P1-49
88,,J-243-P6-B-16,P-3314-P1-50
89,,U-246-R1-C-14,J-242-P16-A-23
90,,J-243-P6-A-16,U-245-R1-B-B3
91,,U-245-R1-C-9,S-245-P1-4
92,,P-242-P3-D-2,J-243-P1-B-3
93,,P-242-P3-D-4,J-243-P1-B-6
94,,U-24H-R2-B-16,U-24H-R2-B-22
95,,U-24J-R1-A-2,J-242-P6-B-2
96,,U-24J-R7-B,J-242-P5-A-2
97,,U-24K-R6-C,J-241-P7-A-3
98,,U-24T-R7-B,J-241-P13-A-2
99,,U-24T-R7-C,J-241-P13-A-3
100,,U-24T-R8-A,J-241-P17-B-1
101,,U-24H-R3-A,J-241-P12-A-1
102,,U-24M-R8-C,J-242-P3-B-3
103,,U-24H-R2-B-10,U-24H-R2-B-4
104,,U-243-P1-D-17,P-3314-P1-101
105,,U-243-P1-D-18,J-242-P22-B-7
106,,U-243-P1-D-23,U-245-R1-B-C2
107,,U-243-P1-D-36,U-245-R1-B-C1
108,,U-243-P1-D-48,U-246-R1-B-C3
109,,U-243-P1-D-56,J-242-P22-B-20
110,,U-24Q-P2-A,J-243-P6-A-5
111,,U-42A-P1-122,J-243-P6-B-13
112,,U-243-P1-D-34,J-242-P22-A-10
113,,U-491-P1-B-A3,U-243-P1-D-52
114,,2D-26C1-P1-13,U-261-P1-B-B14
115,,2D-26C1-P1-12,U-261-P1-B-B14
116,,2D-26C1-P1-6,2D-26C2-P1-6
117,,2D-26C4-P1-7,2D-26C4-P1-10
118,,P-261-P2-B3,P-261-P1-B1
119,,P-261-P2-A3,P-261-P1-A1
120,,D-2819-P1-A,U-281-P2-44
121,,M-28C-P1-C,U-281-P2-31
122,,P-281-P1-2,U-281-P2-66
123,,U-281-P2-59,P-281-P1-5
124,,U-281-P2-41,P-281-P1-14
125,,U-281-P2-35,P-281-P1-34
126,,U-281-P2-34,P-281-P1-26
127,,U-281-P2-62,U-42G-P2-103
128,,U-281-P2-63,U-42J-P2-104
129,,U-281-P2-54,U-42J-P2-68
130,,U-42G-P1-115,U-281-P2-107
131,,U-281-P2-7,U-281-P2-6
132,,D-2817-P1-C,U-42L-P1-8
133,,D-291-P1-A,U-291-P3-75
134,,D-292-P1-B,U-291-P3-120
135,,D-29C-P3-A,U-291-P3-99
136,,D-29N-P1-A,U-291-P3-107
137,,D-29T-P3-B,U-291-P7-71
138,,D-29T-P3-C,U-291-P7-82
139,,D-29T-P3-D,U-291-P7-94
140,,D-29T-P3-E,U-291-P7-105
141,,E-294-P1-E,U-291-P3-18
142,,E-294-P1-C,U-291-P3-19
143,,D-29W-P3-A,U-291-P7-60
144,,D-29W-P3-C,U-291-P7-83
145,,D-29W-P3-D,U-291-P7-95
146,,D-29W-P3-E,U-291-P7-106
147,,E-297-P4-1,U-24M-R3-40
148,,U-291-P3-49,U-42J-P2-128
149,,U-301-P2-K,U-304-P1-16
150,,U-302-P2-K,U-305-P1-16
151,,1P-311-P1-B-K4,2P-313-P1-5
152,,1P-311-P1-B-K4,1P-314-P1-5
153,,1P-311-P1-B-K4,1P-316-P1-5
154,,1P-311-P1-B-K4,U-42A-P1-128
155,,1P-311-P1-B-K5,1P-314-P1-6
156,,1P-311-P1-B-K5,1P-315-P1-6
157,,1P-311-P1-B-K5,2P-315-P1-6
158,,1P-311-P1-B-K5,1P-316-P1-6
159,,1P-311-P1-B-K5,U-42A-P1-121
160,,1P-311-P1-C-K2,M-311-P1-2
161,,1P-312-P1-B-E1,3P-312-P1-B-E1
162,,1P-312-P1-B-E2,1P-311-P1-B-E2
163,,1P-312-P1-B-E2,2P-311-P1-B-E2
164,,1P-312-P1-B-E3,1P-311-P1-B-E3
165,,1P-312-P1-B-K1,2P-312-P1-B-K1
166,,1P-312-P1-B-K1,2P-315-P1-3
167,,1P-312-P1-B-K1,U-42B-P1-121
168,,1P-312-P1-B-K2,1P-311-P1-B-K2
169,,1P-312-P1-B-K2,2P-312-P1-B-K2
170,,1P-312-P1-B-K2,2P-314-P1-2
171,,2P-312-P1-B-A5,2P-312-P1-B-B5
172,,2P-312-P1-C-K2,M-313-P1-2
173,,3P-312-P1-B-E4,2P-311-P1-B-E4
174,,3P-312-P1-B-E4,2P-312-P1-B-E4
175,,3P-312-P1-C-K1,M-315-P1-1
176,,3P-312-P1-C-K2,M-315-P1-2
177,,U-24F-R3-7,2P-312-P1-C-56
178,,U-24F-R3-8,2P-311-P1-C-56
179,,1U-321-P1-E-F9,P-321-P2-T
180,,2D-32A-P1-C,2U-321-P1-A-D10
181,,P-331G-P2-6,P-3315-P2-4
182,,P-331G-P2-6,P-3311-P2-4
183,,P-331G-P2-6,P-3318-P2-4
184,,P-331G-P2-6,U-42F-P1-128
185,,P-331G-P2-6,P-3312-P2-6
186,,P-331G-P2-7,U-42F-P1-121
187,,P-331G-P2-7,P-331B-P2-7
188,,P-331G-P2-7,P-3315-P2-3
189,,P-331G-P2-7,P-331H-P2-7
190,,P-331G-P2-7,P-3317-P2-3
191,,P-331G-P2-7,U-3311-P2-9
192,,P-331G-P2-7,P-3311-P2-3
193,,P-331G-P2-7,P-331C-P2-7
194,,P-331G-P2-7,P-221-P2-12
195,,P-331G-P2-7,P-3313-P1-17
196,,P-331G-P2-7,P-331A-P2-7
197,,P-331G-P2-7,P-3312-P2-7
198,,P-331G-P2-7,P-3316-P2-3
199,,P-331G-P2-7,P-3318-P2-3
200,,P-331G-P2-7,P-3314-P1-125
201,,U-3311-P1-64,P-321-P2-A
202,,U-3341-P1-14,U-3344-P1-1
203,,U-3342-P1-6,U-24S-R8-25
204,,U-3344-P1-6,U-24M-R6-25
205,,U-3346-P1-6,U-24K-R8-29
206,,U-3347-P1-1,U-24G-R8-25
207,,A-34N-P1-B,1U-343-R1-37
208,,1U-231-R1-P1-6,1U-343-R1-30
209,,U-42J-P1-116,1U-343-R1-57
210,,A-34N-P1-A,2U-343-R1-45
211,,A-34N-P1-M,2U-343-R1-37
212,,A-34N-P1-N,2U-343-R1-38
213,,2U-343-R1-7,2U-231-R1-P1-39
214,,2U-343-R1-30,2U-231-R1-P1-6
215,,2U-343-R1-5,U-42K-P2-80
216,,2U-343-R1-6,U-42K-P2-81
217,,2U-343-R1-57,U-42K-P1-123
218,,2U-343-R1-56,2U-343-R1-63
219,,2U-343-R1-40,2U-343-R1-63
220,,3U-34B-P1-40,3U-349-P1-4
221,,1U-30A-P1-V,U-24F-R7-24
222,,S-383-P1-C,T-381-P2-T
223,,U-24D-R7-24,U-423-P3-A-C8
224,,U-423-P3-B-C9,P-242-P4-C-11
225,,U-24N-P1-12,U-243-P1-B-35
226,,U-24N-P1-3,U-243-P1-B-19
227,,U-24N-P1-10,U-243-P1-B-18
228,,U-24N-P1-6,U-243-P1-B-59
229,,U-24N-P1-8,U-243-P1-B-2
230,,U-24N-P1-14,U-243-P1-B-1
231,,U-491-P1-B-D10,U-243-P1-B-17
232,,U-491-P1-B-D11,U-243-P1-B-16
233,,P-3313-P1-60,U-24D-R8-36
234,,P-3316-P1-61,U-24D-R8-41
235,,U-491-P1-C-7,J-241-P14-A-3
236,,U-491-P1-B-K9,P-261-P1-C1
237,,U-491-P1-B-E1,U-42P-P1-46
238,,U-491-P1-B-F2,U-42P-P1-47
239,,U-491-P1-B-A1,U-42P-P1-78
240,,U-491-P1-B-B2,U-42P-P1-79
241,,U-491-P1-B-C1,U-42Q-P1-101
242,,U-785-P1-B-E5,U-42F-P3-93
243,,U-785-P1-B-D3,U-761-P4-G
244,,U-785-P1-B-D3,U-42D-P1-62
245,,U-785-P1-B-E6,U-42F-P2-114
246,,U-785-P1-A-D6,U-42E-P3-34
247,,U-785-P1-A-E6,U-42E-P3-24
248,,U-785-P1-B-101,U-24E-R6-37
249,,U-785-P1-B-103,U-24E-R5-19
250,,1U-274A-P5-B-2,U-272C-P1-2
251,,1U-275A-P8-B-10,U-27HC-P1-4
252,,1U-275A-P2-B-B10,1U-275A-P2-B-C9
253,,2U-274A-P5-B-8,U-27EC-P1-C
254,,2U-274A-P5-B-9,U-274C-P1-3
255,,2U-274A-P1-B-C10,2P-312-P1-B-E7
256,,2U-274A-P2-A-C7,1U-321-P1-B-F2
257,,2U-274A-P2-A-C7,1U-321-P1-E-F2
258,,3U-274A-P5-B-24,U-27JC-P1-2
259,,3U-274A-P5-B-2,U-271C-P1-2
260,,3U-274A-P6-A-2,U-275C-P1-2
261,,3U-274A-P6-A-9,U-275C-P1-4
262,,U-27DC-P6-2,1U-275A-P6-A-5
263,,U-27DC-P6-4,1U-275A-P6-A-7
264,,U-27DC-P6-3,1U-275A-P6-A-8
265,,3U-274A-P5-A-1,J-241-P12-B-2
266,,2U-271D-P1-A-J3,D-274D-P2-4
267,,D-279D-P1-2,1U-271D-P1-B-B1
268,,D-279D-P1-5,1U-271D-P1-B-A3
269,,D-279D-P1-6,1U-271D-P1-B-B3
270,,D-279D-P2-3,2U-271D-P1-B-C4
271,,D-279D-P2-4,2U-271D-P1-B-C3
272,,D-279D-P2-2,2U-271D-P1-B-B1
273,,D-279D-P2-2,D-27AD-P2-2
274,,D-279D-P2-1,2U-271D-P1-B-C1
275,,E-273D-P2-B,2U-271D-P1-A-A15
